FBKT 817,658091
CVPP 457,731553
CVPP 457,263198
KULK 052,760234
FBKT 817,794330
VXDQ 836,893032
VXDQ 836,822178
KULK 052,926232
CVPP 457,668154
FBKT 817,625202
FOQX 539,121234
KULK 052,456816
JJUE 661,499064
JJUE 661,042481
JJUE 661,776384
FOQX 539,498950
KULK 052,660175
RQMZ 567,577175
JJUE 661,286894
HFEN 070,357707
EYEP 852,686668
EYEP 852,480578
RQMZ 567,832963
EYEP 852,904068
FOQX 539,005477
RQMZ 567,926621
VXDQ 836,797731
YVXR 724,079328
FOQX 539,717021
YVXR 724,407265
YVXR 724,097910
YVXR 724,097974
RQMZ 567,270818
HFEN 070,900037
FBKT 817,926597
EYEP 852,505568
HFEN 070,135047
CVPP 457,388927
VXDQ 836,377177
HFEN 070,580183
